timestamp,long,lat,individual-local-identifier
2008-04-09 15:08:00,-2.78853,56.44706,gp13-902-08
2008-04-09 15:38:04,-2.78434,56.43897,gp13-902-08
2008-04-09 16:07:08,-2.76453,56.439,gp13-902-08
2008-04-09 16:37:12,-2.74011,56.43968,gp13-902-08
2008-04-09 17:07:56,-2.70902,56.43893,gp13-902-08
2008-04-09 18:37:00,-2.65383,56.43058,gp13-902-08
2008-04-09 19:07:52,-2.61955,56.42092,gp13-902-08
2008-04-09 20:37:00,-2.51505,56.41756,gp13-902-08
2008-04-10 01:07:44,-2.43668,56.4702,gp13-902-08
2008-04-10 01:37:00,-2.42411,56.46561,gp13-902-08
2008-04-10 02:07:00,-2.42519,56.46346,gp13-902-08
2008-04-10 02:37:00,-2.42798,56.45916,gp13-902-08
2008-04-10 03:07:00,-2.43121,56.45376,gp13-902-08
2008-04-10 04:37:52,-2.44933,56.42974,gp13-902-08
2008-04-10 06:08:20,-2.44163,56.40233,gp13-902-08
2008-04-10 07:37:00,-2.4333,56.39272,gp13-902-08
2008-04-10 09:37:32,-2.3899,56.40903,gp13-902-08
2008-04-10 11:07:28,-2.30171,56.43112,gp13-902-08
2008-04-10 11:37:00,-2.27629,56.43591,gp13-902-08
2008-04-10 12:08:48,-2.24835,56.44145,gp13-902-08
2008-04-10 12:38:04,-2.22289,56.44581,gp13-902-08
2008-04-10 13:07:04,-2.20098,56.4455,gp13-902-08
2008-04-10 13:37:00,-2.17664,56.44398,gp13-902-08
2008-04-10 16:08:20,-2.05245,56.41841,gp13-902-08
2008-04-10 16:39:28,-2.02214,56.41327,gp13-902-08
2008-04-10 17:07:04,-1.99264,56.40821,gp13-902-08
2008-04-10 19:09:04,-1.86397,56.38335,gp13-902-08
2008-04-10 19:38:00,-1.8306,56.3805,gp13-902-08
2008-04-10 20:09:12,-1.79303,56.38483,gp13-902-08
2008-04-10 21:10:00,-1.72675,56.39851,gp13-902-08
2008-04-10 23:09:52,-1.5858,56.42247,gp13-902-08
2008-04-10 23:38:36,-1.56208,56.43038,gp13-902-08
2008-04-11 00:11:04,-1.52591,56.43505,gp13-902-08
2008-04-11 00:38:08,-1.49418,56.43918,gp13-902-08
2008-04-11 01:07:08,-1.45936,56.44641,gp13-902-08
2008-04-11 02:08:36,-1.38722,56.46042,gp13-902-08
2008-04-11 02:38:20,-1.35095,56.46627,gp13-902-08
2008-04-11 06:37:32,-1.1004,56.4694,gp13-902-08
2008-04-11 07:07:00,-1.07352,56.47329,gp13-902-08
2008-04-11 07:37:48,-1.05566,56.47477,gp13-902-08
2008-04-11 10:07:08,-0.97153,56.46944,gp13-902-08
2008-04-11 14:39:16,-0.87623,56.51175,gp13-902-08
2008-04-11 16:08:40,-0.80525,56.49358,gp13-902-08
2008-04-11 23:38:52,-0.54296,56.43482,gp13-902-08
2008-04-12 00:07:56,-0.51431,56.43607,gp13-902-08
2008-04-12 02:09:00,-0.38768,56.4648,gp13-902-08
2008-04-12 03:40:52,-0.33127,56.47157,gp13-902-08
2008-04-12 05:08:36,-0.29096,56.45861,gp13-902-08
2008-04-12 09:41:04,-0.33818,56.33294,gp13-902-08
2008-04-12 10:40:24,-0.35198,56.31405,gp13-902-08
2008-04-12 12:12:04,-0.39436,56.27874,gp13-902-08
2008-04-12 12:37:32,-0.40142,56.26971,gp13-902-08
2008-04-12 14:07:12,-0.43991,56.24523,gp13-902-08
2008-04-12 14:40:48,-0.45235,56.23391,gp13-902-08
2008-04-12 15:41:20,-0.48363,56.21679,gp13-902-08
2008-04-12 16:07:52,-0.49931,56.2069,gp13-902-08
2008-04-12 16:40:04,-0.51142,56.19296,gp13-902-08
2008-04-12 17:08:40,-0.52435,56.17846,gp13-902-08
2008-04-12 17:37:00,-0.53958,56.16262,gp13-902-08
2008-04-12 18:07:00,-0.55893,56.14617,gp13-902-08
2008-04-12 18:41:28,-0.58325,56.1279,gp13-902-08
2008-04-12 19:07:16,-0.60261,56.11417,gp13-902-08
2008-04-12 20:07:00,-0.63983,56.0808,gp13-902-08
2008-04-12 21:07:00,-0.67036,56.05035,gp13-902-08
2008-04-12 21:38:08,-0.68473,56.03843,gp13-902-08
2008-04-12 22:07:48,-0.70497,56.02184,gp13-902-08
2008-04-12 22:38:08,-0.72713,56.00428,gp13-902-08
2008-04-13 02:08:16,-0.73108,55.99479,gp13-902-08
2008-04-13 03:09:44,-0.76,55.99271,gp13-902-08
2008-04-13 03:39:56,-0.75033,55.98899,gp13-902-08
2008-04-13 04:09:32,-0.75783,55.98306,gp13-902-08
2008-04-13 04:37:00,-0.76542,55.97378,gp13-902-08
2008-04-13 05:39:04,-0.79112,55.95012,gp13-902-08
2008-04-13 06:37:16,-0.82575,55.92229,gp13-902-08
2008-04-13 08:09:36,-0.89387,55.86752,gp13-902-08
2008-04-13 08:39:28,-0.91743,55.84892,gp13-902-08
2008-04-13 09:08:48,-0.94205,55.83086,gp13-902-08
2008-04-13 10:09:56,-0.99388,55.80045,gp13-902-08
2008-04-13 12:37:24,-1.10082,55.74685,gp13-902-08
2008-04-13 13:08:24,-1.1304,55.72996,gp13-902-08
2008-04-13 13:38:44,-1.1562,55.71327,gp13-902-08
2008-04-13 14:07:32,-1.184,55.70091,gp13-902-08
2008-04-13 14:37:00,-1.21402,55.68944,gp13-902-08
2008-04-13 15:08:36,-1.24839,55.6785,gp13-902-08
2008-04-13 16:07:24,-1.33044,55.66399,gp13-902-08
2008-04-13 16:38:16,-1.37215,55.66067,gp13-902-08
2008-04-13 17:08:56,-1.41398,55.65817,gp13-902-08
2008-04-13 17:37:32,-1.45629,55.65141,gp13-902-08
2008-04-13 18:09:32,-1.50077,55.64851,gp13-902-08
2008-04-13 18:39:48,-1.54445,55.64475,gp13-902-08
2008-04-13 19:09:12,-1.5876,55.63921,gp13-902-08
2008-04-13 19:37:16,-1.60595,55.64434,gp13-902-08
2008-04-13 21:37:00,-1.61172,55.64559,gp13-902-08
2008-04-14 18:11:36,-1.58538,55.65065,gp13-902-08
2008-04-14 20:09:56,-1.49183,55.70656,gp13-902-08
2008-04-14 20:40:24,-1.46563,55.72297,gp13-902-08
2008-04-14 21:41:56,-1.4113,55.74793,gp13-902-08
