"","ID","time","x","y","long","lat","depth","chl","dive"
"1","gp13-902-08","2008-04-09 16:07:08",514518.828765864,6254965.70635786,-2.76453,56.439,2.38195665320941,11.5880375809588,24
"2","gp13-902-08","2008-04-09 16:37:12",516024.249985654,6255046.8175266,-2.74011,56.43968,4.19238001160799,11.5880375809588,20
"3","gp13-902-08","2008-04-09 17:07:56",517941.538733177,6254971.01811908,-2.70902,56.43893,8.45945279202014,11.5880375809588,26
"4","gp13-902-08","2008-04-09 18:37:00",521349.163668584,6254057.39353664,-2.65383,56.43058,16.2424103314534,9.79333629285021,16
"5","gp13-902-08","2008-04-09 19:07:52",523469.23333831,6252993.36626166,-2.61955,56.42092,22.7831869966518,7.36019976973988,14
"6","gp13-902-08","2008-04-09 20:37:00",529918.222509915,6252659.94684076,-2.51505,56.41756,31.3984247661833,5.18611102093711,28
"7","gp13-902-08","2008-04-10 01:07:44",534705.073485103,6258555.79707975,-2.43668,56.4702,33.0313461921113,3.3972450249635,28
"8","gp13-902-08","2008-04-10 01:37:00",535483.757774995,6258051.33151427,-2.42411,56.46561,33.4462136889423,3.3972450249635,41
"9","gp13-902-08","2008-04-10 02:07:00",535419.215098178,6257811.47192021,-2.42519,56.46346,33.4462136889423,3.3972450249635,36
"10","gp13-902-08","2008-04-10 02:37:00",535251.283164111,6257331.43275848,-2.42798,56.45916,32.6697526473411,3.3972450249635,27
"11","gp13-902-08","2008-04-10 03:07:00",535057.207030932,6256728.74253147,-2.43121,56.45376,32.6697526473411,3.3972450249635,24
"12","gp13-902-08","2008-04-10 04:37:52",533961.81264593,6254046.14401355,-2.44933,56.42974,32.650369305453,3.60482681900193,22
"13","gp13-902-08","2008-04-10 06:08:20",534461.462987756,6250999.16432807,-2.44163,56.40233,33,3.65917709930442,29
"14","gp13-902-08","2008-04-10 07:37:00",534984.379028419,6249933.75281289,-2.4333,56.39272,33,3.65917709930442,27
"15","gp13-902-08","2008-04-10 09:37:32",537647.474230074,6251772.00619228,-2.3899,56.40903,33.3263521410114,2.65454000655243,15
"16","gp13-902-08","2008-04-10 11:07:28",543064.356338756,6254282.42130071,-2.30171,56.43112,41.2984812364523,2.20276114975474,6
