"","X","gps_data_animals_id","gps_sensors_id","animals_id","acquisition_time","geom","species_code","x","y"
"5329",5329,159075,2,2,"2014-04-11 03:00:31","0101000020E61000005C887A666E5351C00E0F0643C2223DC0",1,470466.740429327,6776933.2386398
"5330",5330,159077,2,2,"2014-04-11 04:00:12","0101000020E6100000921106546E5351C002F1BA7EC1223DC0",1,470467.165086519,6776934.53603967
"5331",5331,159078,2,2,"2014-04-11 04:00:06","0101000020E6100000398485EE6D5351C0033972EEC0223DC0",1,470469.51663763,6776935.49494543
"5332",5332,159079,2,2,"2014-04-11 04:00:13","0101000020E61000009EBFBFF76D5351C037A2201DC3223DC0",1,470469.312154859,6776931.8049366
"5333",5333,159083,2,2,"2014-04-11 05:00:15","0101000020E6100000FDB0EFD46D5351C002614C9FC2223DC0",1,470470.117377809,6776932.63797815
"5334",5334,159085,2,2,"2014-04-11 05:00:14","0101000020E61000007A4265B26E5351C07308C14FC1223DC0",1,470464.975641148,6776934.84061736
"5335",5335,159087,2,2,"2014-04-11 05:00:07","0101000020E6100000742909E46D5351C0380AB54BC0223DC0",1,470469.757047929,6776936.5702794
"5336",5336,159088,2,2,"2014-04-11 05:00:19","0101000020E6100000398485EE6D5351C0033972EEC0223DC0",1,470469.51663763,6776935.49494543
"5337",5337,159089,2,2,"2014-04-11 06:00:14","0101000020E61000001B6BDA206E5351C0629DCF25C1223DC0",1,470468.3503035,6776935.1263122
"5338",5338,159093,2,2,"2014-04-11 06:00:13","0101000020E6100000C20B6CDF6D5351C0F71A272AC0223DC0",1,470469.863476722,6776936.79214443
"5339",5339,159095,2,2,"2014-04-11 07:00:12","0101000020E6100000F5CA06E3715351C0E0F2FD79BF223DC0",1,470446.028556872,6776937.89398133
"5340",5340,159096,2,2,"2014-04-11 07:00:13","0101000020E61000002B3AED84725351C077C47CD4BA223DC0",1,470442.253530003,6776945.73961644
"5341",5341,159097,2,2,"2014-04-11 07:00:07","0101000020E61000008D32D1D6775351C065F4ED6EAF223DC0",1,470410.61911615,6776964.92517941
"5342",5342,159099,2,2,"2014-04-11 07:00:06","0101000020E6100000D47D00529B5351C0B1B508D682223DC0",1,470199.767618042,6777039.774376
"5343",5343,159101,2,2,"2014-04-11 08:00:13","0101000020E6100000EEDA94E1AE5351C00AD6DDE11B233DC0",1,470084.308371274,6776780.73301005
"5344",5344,159102,2,2,"2014-04-11 08:00:46","0101000020E61000002E347CB0B15351C0A98F769263233DC0",1,470067.952923799,6776659.49126365
"5345",5345,159103,2,2,"2014-04-11 08:00:09","0101000020E61000001726F84BB05351C0B39CDF8B8A233DC0",1,470076.393205664,6776593.62335507
"5346",5346,159104,2,2,"2014-04-11 08:00:14","0101000020E6100000B6FDE19DB25351C068A4EF7F91233DC0",1,470062.650487764,6776581.8320326
"5347",5347,159106,2,2,"2014-04-11 08:00:30","0101000020E6100000219A2FE5B25351C0162296838F233DC0",1,470060.988113899,6776585.18478276
"5348",5348,159107,2,2,"2014-04-11 09:00:14","0101000020E6100000105D50DFB25351C09934FC5D8E233DC0",1,470061.119220343,6776587.12404397
"5349",5349,159108,2,2,"2014-04-11 09:00:15","0101000020E61000004B30E6F8B25351C040451F3D8F233DC0",1,470060.529726854,6776585.64892408
"5350",5350,159109,2,2,"2014-04-11 09:00:13","0101000020E61000009F48E647B25351C0DE44E33F93233DC0",1,470064.652262835,6776578.8790331
"5351",5351,159110,2,2,"2014-04-11 09:00:17","0101000020E610000047205ED7AF5351C0871CB68883233DC0",1,470079.066326681,6776605.48544337
"5352",5352,159113,2,2,"2014-04-11 10:00:13","0101000020E6100000BDD75AA9B15351C0B0EE0EDF78233DC0",1,470068.212450468,6776623.48346317
"5353",5353,159114,2,2,"2014-04-11 10:00:16","0101000020E610000040FB9122B25351C03A4E1B1F77233DC0",1,470065.393596324,6776626.43432624
"5354",5354,159115,2,2,"2014-04-11 10:00:09","0101000020E61000009F1AD423B25351C0E2C6D22C75233DC0",1,470065.355808966,6776629.7248485
"5355",5355,159117,2,2,"2014-04-11 10:00:30","0101000020E61000009F1AD423B25351C000CC102274233DC0",1,470065.351201609,6776631.48648208
"5356",5356,159119,2,2,"2014-04-11 11:00:19","0101000020E6100000E69B23E1B15351C0139F967A71233DC0",1,470066.886068433,6776635.97770678
"5357",5357,159120,2,2,"2014-04-11 11:00:24","0101000020E6100000EC2A4943B25351C0879A32816C233DC0",1,470064.587942316,6776644.38106125
"5358",5358,159121,2,2,"2014-04-11 11:00:12","0101000020E61000000ABABDA4B15351C02BC7BF2A72233DC0",1,470068.289807356,6776634.81802695
"5359",5359,159122,2,2,"2014-04-11 11:00:13","0101000020E6100000F2A26593B25351C0FD3A26416E233DC0",1,470062.737810022,6776641.41798712
"5360",5360,159125,2,2,"2014-04-11 12:00:18","0101000020E6100000A95780A5A95351C0EECEDA6D17243DC0",1,470116.497093914,6776355.55139167
