"","burst","delta","phi","theta","phi2","rho","zeta"
"1","1_2017",4382.89278539509,4.58350361244512,48.265471564355,NA,NA,NA
"2","1_2015",6869.28489582797,3.90121295819774,43.4926039524095,1.74667023247142,166.468791922944,0.887171550170502
"3","1_2016",5707.17659197653,1,41.3611992311985,1.35770219449577,172.226370543662,0.904491710128816
