"","gps_data_animals_id","gps_sensors_id","animals_id","acquisition_time","longitude","latitude","insert_timestamp","update_timestamp","geom","species_code"
"34",2970,4,4,2014-04-23 17:00:22,-69.2804317,-29.0496075,09:58:00,23:21:00,"0101000020E6100000BF10CD97F25151C0E622BE13B30C3DC0",1
"35",2997,4,4,2014-04-24 05:00:30,-69.2902731,-29.0480403,09:58:00,23:21:00,"0101000020E610000025DA9FD5935251C0D9637D5E4C0C3DC0",1
"36",3000,4,4,2014-04-24 08:00:29,-69.2902311,-29.0480617,09:58:00,23:21:00,"0101000020E61000000EB27625935251C0AFB085C54D0C3DC0",1
"37",3013,4,4,2014-04-24 14:00:21,-69.2896967,-29.0482033,09:58:00,23:21:00,"0101000020E6100000951007648A5251C02D0F2D0D570C3DC0",1
"38",3024,4,4,2014-04-24 20:00:15,-69.2902581,-29.0481081,09:58:00,23:21:00,"0101000020E61000008BB9B596935251C0362CFCCF500C3DC0",1
"39",3035,4,4,2014-04-24 23:00:49,-69.2903583,-29.0481625,09:58:00,23:21:00,"0101000020E6100000D1A7FA3A955251C0C364AA60540C3DC0",1
"40",3038,4,4,2014-04-25 02:00:30,-69.2900928,-29.0481447,09:58:00,23:21:00,"0101000020E6100000863364E1905251C0CAF90736530C3DC0",1
"41",3047,4,4,2014-04-25 05:00:47,-69.2899281,-29.0481853,09:58:00,23:21:00,"0101000020E610000040EC962E8E5251C0E0A52FDF550C3DC0",1
"42",3061,4,4,2014-04-25 14:00:20,-69.2897356,-29.0481269,09:58:00,23:21:00,"0101000020E61000002A9F2F078B5251C0D08E650B520C3DC0",1
"43",3070,4,4,2014-04-25 17:00:47,-69.2900639,-29.0482169,09:58:00,23:21:00,"0101000020E610000004102D68905251C0509D58F1570C3DC0",1
"44",3074,4,4,2014-04-25 20:00:22,-69.2903631,-29.0482136,09:58:00,23:21:00,"0101000020E6100000C59D1C4F955251C0F138FBB9570C3DC0",1
"45",3083,4,4,2014-04-25 23:00:48,-69.2903558,-29.0481528,09:58:00,23:21:00,"0101000020E61000000D4D7E30955251C0F935EDBD530C3DC0",1
"46",3107,4,4,2014-04-26 11:02:19,-69.2728886,-29.0472064,09:58:00,23:21:00,"0101000020E6100000E11CBF01775151C07229F8B7150C3DC0",1
"47",3109,4,4,2014-04-26 14:00:29,-69.2705158,-29.0466342,09:58:00,23:21:00,"0101000020E610000048838021505151C008E00B38F00B3DC0",1
"48",3120,4,4,2014-04-26 20:00:19,-69.3188411,-29.0519561,09:58:00,23:21:00,"0101000020E6100000B94780E4675451C0E553B6FE4C0D3DC0",1
"49",3127,4,4,2014-04-26 23:00:25,-69.3380844,-29.0305906,09:58:00,23:21:00,"0101000020E61000006B52C02CA35551C0A5901AC9D4073DC0",1
