"","X.1","Elk","Date_Time","id","X","Y"
"62",62,"Wiggins2","2015-03-06 04:00:13",2,-1073514.76210163,2354548.41467768
"63",63,"Wiggins2","2015-03-06 05:00:19",2,-1073508.51477458,2354535.12851587
"64",64,"Wiggins2","2015-03-06 06:00:12",2,-1073508.20151478,2354537.33879699
"65",65,"Wiggins2","2015-03-06 07:00:30",2,-1073785.89996689,2355044.54867485
"66",66,"Wiggins2","2015-03-06 08:00:12",2,-1073933.94292475,2354917.85698886
"67",67,"Wiggins2","2015-03-06 09:00:12",2,-1073925.50296799,2354920.04230767
"68",68,"Wiggins2","2015-03-06 10:00:29",2,-1073925.81636112,2354917.83205671
"69",69,"Wiggins2","2015-03-06 11:00:13",2,-1073925.97305769,2354916.7269312
"70",70,"Wiggins2","2015-03-06 12:00:30",2,-1073924.87618177,2354924.46280937
"71",71,"Wiggins2","2015-03-06 13:00:24",2,-1073934.39124675,2354972.03304193
"72",72,"Wiggins2","2015-03-06 14:00:30",2,-1073938.1520179,2354945.51005396
"73",73,"Wiggins2","2015-03-06 15:00:25",2,-1073943.16638188,2354910.14605275
"74",74,"Wiggins2","2015-03-06 16:00:12",2,-1073923.33083487,2354878.02259747
"75",75,"Wiggins2","2015-03-06 17:00:12",2,-1073923.33083487,2354878.02259747
"76",76,"Wiggins2","2015-03-06 18:00:18",2,-1073900.38257464,2354810.51019159
"77",77,"Wiggins2","2015-03-06 19:00:29",2,-1074057.63267251,2354733.60094219
"78",78,"Wiggins2","2015-03-06 20:00:12",2,-1074216.38316893,2354818.11857915
"79",79,"Wiggins2","2015-03-06 21:00:04",2,-1074244.50125951,2354849.16299628
"80",80,"Wiggins2","2015-03-06 22:00:30",2,-1074235.90436071,2354852.45309704
"81",81,"Wiggins2","2015-03-06 23:00:30",2,-1074236.21784044,2354850.24285447
"82",82,"Wiggins2","2015-03-07 00:00:19",2,-1074432.01699308,2354902.81754673
"83",83,"Wiggins2","2015-03-07 01:00:11",2,-1074542.05350834,2354872.20615755
"84",84,"Wiggins2","2015-03-07 02:00:30",2,-1074645.21870669,2354832.72971592
"85",85,"Wiggins2","2015-03-07 03:00:19",2,-1074644.74831213,2354836.04505887
"86",86,"Wiggins2","2015-03-07 04:00:28",2,-1074645.37550489,2354831.62460156
"87",87,"Wiggins2","2015-03-07 05:00:12",2,-1074637.24875006,2354831.59890981
"88",88,"Wiggins2","2015-03-07 06:00:30",2,-1074825.23405781,2354881.94788843
"89",89,"Wiggins2","2015-03-07 07:00:11",2,-1074869.07533457,2355031.34482039
